 序号,所属区县,停车场编号,停车场类型,所属道路,泊位数量,大型泊位,小型泊位,起始地点,终止地点,开发时间-起,开发时间-止,负责人,联系电话,经营单位,收费时段1,收费时段2,收费标准1,收费标准2,备注,首次通过审批时间
50,丰台,5923,01,莲香园路,60,0,60,,,2008/6/1,2008/6/1,,,,,,,,"莲香园路东侧西侧路侧,",2008/9/23
51,丰台,5924,01,西罗园路,74,0,74,,,2008/7/1,2008/7/1,,,,,,,,"西罗园路南侧路侧,",2008/9/23
52,丰台,5930,01,科兴路,90,0,90,,,2008/6/1,2008/6/1,,,,,,,,"科兴路南侧北侧路侧,",2008/9/23
53,东城,5067,01,地东大街,8,0,8,,,2008/6/1,2008/6/1,,,,,,,,"地东大街北侧路侧,",2008/9/23
54,昌平,7195,01,昌盛路,160,0,160,,,2008/9/1,2008/9/1,,,,,,,,昌盛路东侧西侧路侧,2008/9/23
55,西城,6623,01,二龙路,62,0,62,,,2008/6/1,2008/6/1,,,,,,,,"二龙路东侧南侧路侧,",2008/9/23
56,西城,5218,01,广宁伯街,9,0,9,,,2008/6/1,2008/6/1,,,,,,,,"广宁伯街南侧路侧,",2008/9/23
57,西城,5220,01,西便门东街,30,0,30,,,2008/6/1,2008/6/1,,,,,,,,"西便门东街北侧路侧,",2008/9/23
58,西城,5709,01,三里河路南侧东辅路,40,0,40,,,2008/6/1,2008/6/1,,,,,,,,"三里河路南侧东辅路西侧路侧,",2008/9/23
59,西城,5706,01,三里河六巷南侧路,17,0,17,,,2008/6/1,2008/6/1,,,,,,,,"三里河六巷南侧路南侧路侧,",2008/9/23
60,西城,5708,01,三里河南五巷,8,0,8,,,2008/6/1,2008/6/1,,,,,,,,"三里河南五巷西侧路侧,",2008/9/23
61,西城,5231,01,月坛北小街,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"月坛北小街东侧西侧路侧,",2008/9/23
62,西城,6635,01,宗帽胡同,33,0,33,,,2008/6/1,2008/6/1,,,,,,,,"宗帽胡同南侧北侧路侧,",2008/9/23
63,西城,5428,01,金融街,76,0,76,,,2008/6/1,2008/6/1,,,,,,,,"金融街东侧西侧路侧,",2008/9/23
64,西城,5228,01,车公庄大街,309,0,309,,,2008/7/1,2008/7/1,,,,,,,,"车公庄大街南侧北侧路侧,",2008/9/23
65,西城,5267,01,地臧庵,14,0,14,,,2008/6/1,2008/6/1,,,,,,,,"地臧庵东侧路侧,",2008/9/23
66,西城,5270,01,南礼士路三条,36,0,36,,,2008/6/1,2008/6/1,,,,,,,,"南礼士路三条南侧北侧路侧,",2008/9/23
67,西城,5271,01,南礼士路二条,42,0,42,,,2008/6/1,2008/6/1,,,,,,,,"南礼士路二条南侧路侧,",2008/9/23
68,西城,5268,01,二七剧场东里,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"二七剧场东里西侧路侧,",2008/9/23
69,西城,6637,01,南滨河路,81,0,81,,,2008/6/1,2008/6/1,,,,,,,,"南滨河路南侧北侧路侧,",2008/9/23
70,西城,5694,01,礼士路头条,32,0,32,,,2008/6/1,2008/6/1,,,,,,,,"礼士路头条南侧路侧,",2008/9/23
71,西城,5219,01,乐道巷,30,0,30,,,2008/6/1,2008/6/1,,,,,,,,"乐道巷北侧路侧,",2008/9/23
72,西城,5235,01,文兴东街,13,0,13,,,2008/7/1,2008/7/1,,,,,,,,"文兴东街西侧路侧,",2008/9/23
73,西城,5260,01,六铺炕二巷,55,0,55,,,2008/7/1,2008/7/1,,,,,,,,"六铺炕二巷西侧路侧,",2008/9/23
74,西城,5269,01,地臧庵东巷,16,0,16,,,2008/6/1,2008/6/1,,,,,,,,"地臧庵东巷西侧路侧,",2008/9/23
75,西城,5275,01,西什库大街,175,0,175,,,2008/6/1,2008/6/1,,,,,,,,"西什库大街东侧西侧路侧,",2008/9/23
76,西城,5787,01,西草场街,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"西草场街北侧路侧,",2008/9/23
77,西城,6277,01,马连道南街,98,0,98,,,2008/7/1,2008/7/1,,,,,,,,"马连道南街南侧北侧路侧,",2008/9/23
78,海淀,5906,01,永泰大街,56,0,56,,,2008/6/1,2008/6/1,,,,,,,,"永泰大街西侧路侧,",2008/9/23
79,东城,5085,01,金鱼胡同,7,0,7,,,2008/6/1,2008/6/1,,,,,,,,"金鱼胡同南侧便道,",2008/9/23
80,东城,5202,01,金鱼胡同东口东北角,25,0,25,,,,,,,,,,,,"金鱼胡同东口东北角东侧便道,",2008/9/23
81,西城,6279,01,马连道南街东延路,18,0,18,,,2008/7/1,2008/7/1,,,,,,,,"马连道南街东延路南侧北侧路侧,",2008/9/23
82,西城,5789,01,椿树园小区西侧路,88,0,88,,,2008/9/1,2008/9/1,,,,,,,,"椿树园小区前道路东侧西侧路侧,",2008/9/23
83,西城,6281,01,椿树园小区东侧路,35,0,35,,,2008/7/1,2008/7/1,,,,,,,,"椿树园小区东侧路西侧路侧,",2008/9/23
84,西城,5793,01,陶然亭路1,24,0,24,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路北侧路侧,",2008/9/23
85,西城,6283,01,陶然亭路办事处门前2,26,0,26,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路办事处门前北侧便道,",2008/9/23
86,西城,6285,01,陶然亭路百通电子市场3,15,0,15,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路百通电子市场南侧便道,",2008/9/23
87,西城,6287,01,陶然亭路工商银行门前4,10,0,10,,,2008/9/1,2008/9/1,,,,,,,,"陶然亭路工商银行门前北侧便道,",2008/9/23
88,西城,6289,01,香炉营东巷,66,0,66,,,2008/7/1,2008/7/1,,,,,,,,"香炉营东巷西侧路侧,",2008/9/23
89,西城,6291,01,安平里,22,0,22,,,2008/7/1,2008/7/1,,,,,,,,"安平里南侧路侧,",2008/9/23
90,西城,6295,01,德泉胡同,25,0,25,,,2008/7/1,2008/7/1,,,,,,,,"德泉胡同南侧路侧,",2008/9/23
91,西城,6301,01,骡马市大街,30,0,30,,,2008/7/1,2008/7/1,,,,,,,,"骡马市大街南侧便道,",2008/9/23
92,东城,5740,01,金鱼池东街,26,0,26,,,2008/7/1,2008/7/1,,,,,,,,金鱼池东街东侧,2008/9/23
93,西城,5217,01,成方街,22,0,22,,,2008/6/1,2008/6/1,,,,,,,,"成方街南侧路侧,",2008/9/23
94,西城,5249,01,皇城根南街,45,0,45,,,2008/6/1,2008/6/1,,,,,,,,"皇城根南街东侧路侧,",2008/9/23
95,石景山,5970,01,鲁谷南路,47,0,47,,,,,,,,,,,,"路侧,",2008/9/23
96,东城,5722,01,前门东大街,119,0,119,,,2008/7/1,2008/7/1,,,,,,,,"前门东大街南侧北侧路侧,",2008/9/23
97,东城,5723,01,崇文门西大街,34,0,34,,,2008/7/1,2008/7/1,,,,,,,,"崇文门西大街南侧北侧路侧,",2008/9/23
98,东城,5724,01,崇文门外大街,80,0,80,,,2008/7/1,2008/7/1,,,,,,,,"崇文门外大街西侧东侧路侧,",2008/9/23
99,东城,5728,01,永定门东街,138,0,138,,,2008/6/1 1:00:00,2008/6/1 1:00:00,,,,,,,,"永定门东街南侧路侧,",2008/9/23
100,东城,5729,01,左安门内大街,77,0,77,,,2008/7/1,2008/7/1,,,,,,,,"左安门内大街西侧东侧路侧,",2008/9/23
101,东城,5730,01,白桥大街,95,0,95,,,2008/7/1,2008/7/1,,,,,,,,"白桥大街西侧东侧路侧,",2008/9/23
102,东城,5733,01,安乐林路,71,0,71,,,2008/7/1,2008/7/1,,,,,,,,"安乐林路南侧路侧,",2008/9/23
103,东城,5734,01,管村路,33,0,33,,,2008/7/1,2008/7/1,,,,,,,,"管村路南侧北侧路侧,",2008/9/23
104,东城,5735,01,幸福大街便道,21,0,21,,,2008/7/1,2008/7/1,,,,,,,,幸福大街便道东侧,2008/9/23
105,东城,5736,01,金鱼池中街,44,0,44,,,2008/7/1,2008/7/1,,,,,,,,"金鱼池中街东侧路侧,",2008/9/23
106,东城,5741,01,崇文门西小街,11,0,11,,,2008/6/1 1:00:00,2008/6/1 1:00:00,,,,,,,,"崇文门西小街北侧路侧,",2008/9/23
107,东城,5747,01,东兴隆街,42,0,42,,,2008/7/1,2008/7/1,,,,,,,,"东兴隆街南侧北侧路侧,",2008/9/23
108,东城,5726,01,体育馆路,160,0,160,,,2008/7/1,2008/7/1,,,,,,,,"体育馆路南侧北侧路侧,",2008/9/23
109,东城,5738,01,南小市街,31,0,31,,,2008/7/1,2008/7/1,,,,,,,,"南小市街东侧路侧,",2008/9/23
110,东城,5746,01,永外大街旧路,36,0,36,,,2008/7/1,2008/7/1,,,,,,,,"永外大街旧路东侧路侧,",2008/9/23
111,东城,6130,01,马家堡东路,12,0,12,,,2008/7/1,2008/7/1,,,,,,,,"马家堡东路东侧路侧,",2008/9/23
112,丰台,5937,01,丰台法院东侧路,154,0,154,,,2008/6/1,2008/6/1,,,,,,,,"丰台法院东侧路东侧西侧路侧,",2008/9/23
113,丰台,5946,01,嘉和路,94,0,94,,,2008/6/1,2008/6/1,,,,,,,,"嘉和路南侧北侧路侧,",2008/9/23
114,丰台,5949,01,方庄南路,110,0,110,,,2008/6/1,2008/6/1,,,,,,,,"方庄南路东侧西侧路侧,",2008/9/23
115,房山,5982,01,京周路,283,0,283,,,2008/9/1,2008/9/1,,,,,,,,"京周路南侧北侧路侧,",2008/9/23
116,东城,5059,01,安内大街,6,0,6,,,2008/6/1,2008/6/1,,,,,,,,"安内大街西侧便道,路侧,",2008/9/23
117,东城,5064,01,大华路,91,0,91,,,2008/6/1,2008/6/1,,,,,,,,"大华路东侧西侧路侧,",2008/9/23
118,东城,5084,01,交南大街,12,0,12,,,2008/6/1,2008/6/1,,,,,,,,"交南大街西侧路侧,",2008/9/23
119,东城,5096,01,市检西路、南路,25,0,25,,,2008/7/1,2008/7/1,,,,,,,,"市检西路、南路东侧北侧路侧,",2008/9/23
120,东城,5106,01,潘家坡胡同,10,0,10,,,2008/7/1,2008/7/1,,,,,,,,"潘家坡胡同北侧路侧,",2008/9/23
121,东城,5116,01,山老胡同,19,0,19,,,2008/7/1,2008/7/1,,,,,,,,"山老胡同南侧北侧路侧,",2008/9/23
122,东城,5120,01,北兵马司胡同,29,0,29,,,2008/7/1,2008/7/1,,,,,,,,"北兵马司胡同南侧北侧路侧,",2008/9/23
123,东城,5125,01,东四十三条,22,0,22,,,,,,,,,,,,"东四十三条北侧南侧路侧,",2008/9/23
124,东城,5134,01,韶九胡同,18,0,18,,,,,,,,,,,,"韶九胡同南侧北侧路侧,",2008/9/23
125,东城,5139,01,东厂胡同,28,0,28,,,,,,,,,,,,"东厂胡同北侧路侧,",2008/9/23
126,东城,5146,01,礼士胡同,58,0,58,,,,,,,,,,,,"礼士胡同南侧北侧路侧,",2008/9/23
127,东城,5149,01,史家胡同,45,0,45,,,,,,,,,,,,"史家胡同南侧路侧,",2008/9/23
128,东城,5155,01,东四二条,32,0,32,,,,,,,,,,,,"东四二条北侧路侧,",2008/9/23
129,东城,5163,01,东内大街,158,0,158,,,,,,,,,,,,"东内大街南侧北侧路侧,",2008/9/23
130,东城,5170,01,大取灯胡同,2,0,2,,,,,,,,,,,,"大取灯胡同南侧路侧,",2008/9/23
131,东城,5175,01,琉璃寺胡同,2,0,2,,,2008/7/1,2008/7/1,,,,,,,,"琉璃寺胡同南侧北侧路侧,",2008/9/23
132,东城,5179,01,东内南小街,19,0,19,,,,,,,,,,,,"东内南小街东侧路侧,",2008/9/23
133,东城,5186,01,青年湖西里,36,0,36,,,,,,,,,,,,"青年湖西里东侧西侧路侧,",2008/9/23
134,东城,5189,01,台基厂头条,18,0,18,,,2008/7/1,2008/7/1,,,,,,,,"台基厂头条北侧路侧,",2008/9/23
135,东城,5192,01,台基厂二条,35,0,35,,,2008/7/1,2008/7/1,,,,,,,,"台基厂二条南侧路侧,",2008/9/23
136,东城,5195,01,张自忠路路口东南角,6,0,6,,,,,,,,,,,,"张自忠路路口东南角南侧北侧路侧,",2008/9/23
137,昌平,5996,01,永安路,235,0,235,,,2008/7/1,2008/7/1,,,,,,,,"永安路西侧东侧路侧,",2008/9/23
138,门头沟,6013,01,月季园路,28,0,28,,,2008/7/1,2008/7/1,,,,,,,,"月季园路南侧路侧,",2008/9/23
139,海淀,5900,01,上地创业路,110,0,110,,,2008/6/1,2008/6/1,,,,,,,,"上地创业路西侧路侧,",2008/9/23
140,海淀,5907,01,小营东路,50,0,50,,,2008/6/1,2008/6/1,,,,,,,,"小营东路南侧路侧,",2008/9/23
141,海淀,6238,01,新苑路,98,0,98,,,2008/6/1,2008/6/1,,,,,,,,"新苑路南侧北侧路侧,",2008/9/23
142,西城,5767,01,西便门内大街,26,0,26,,,2008/7/1,2008/7/1,,,,,,,,"西便门内大街东侧西侧路侧,",2008/9/23
143,西城,5769,01,菜园街,38,0,38,,,2008/6/1,2008/6/1,,,,,,,,"菜园街西侧路侧,",2008/9/23
144,西城,6271,01,枣林前街西段,38,0,38,,,2008/7/1,2008/7/1,,,,,,,,"枣林前街西段南侧北侧路侧,",2008/9/23
145,西城,6303,01,虎坊路北段1,12,0,12,,,2008/9/1,2008/9/1,,,,,,,,"虎坊路北段东侧便道,",2008/9/23
146,西城,6305,01,虎坊路南段2,62,0,62,,,2008/9/1,2008/9/1,,,,,,,,"虎坊路南段东侧便道,",2008/9/23
147,西城,6307,01,白纸坊东街,11,0,11,,,2008/7/1,2008/7/1,,,,,,,,"白纸坊东街输变电所前北侧便道,",2008/9/23
148,西城,6309,01,右安门内大街1,12,0,12,,,2008/9/1,2008/9/1,,,,,,,,"右安门内大街中轻招待所西侧便道,",2008/9/23
149,西城,6311,01,右安门内大街2,15,0,15,,,2008/9/1,2008/9/1,,,,,,,,"右安门内大街国华餐厅东侧便道,",2008/9/23
150,西城,6313,01,右安门内大街3,18,0,18,,,2008/9/1,2008/9/1,,,,,,,,"右安门内大街红旗大学前西侧便道,",2008/9/23
151,西城,6315,01,永安路1,83,0,83,,,2008/9/1,2008/9/1,,,,,,,,"永安路友谊医院外南侧便道,",2008/9/23
152,西城,6317,01,永安路2,6,0,6,,,2008/9/1,2008/9/1,,,,,,,,"永安路康瑞洗浴北侧便道,",2008/9/23
153,西城,6319,01,白广路1,18,0,18,,,2008/9/1,2008/9/1,,,,,,,,"白广路晋阳饭庄东侧便道,",2008/9/23
154,西城,6321,01,白广路2,9,0,9,,,2008/9/1,2008/9/1,,,,,,,,"白广路钱柜门前南侧西侧便道,",2008/9/23
155,西城,6323,01,白广路3,6,0,6,,,2008/9/1,2008/9/1,,,,,,,,"白广路总参三所西侧便道,",2008/9/23
156,西城,6325,01,南菜园街,30,0,30,,,2008/7/1,2008/7/1,,,,,,,,"南菜园街南来顺前东侧便道,",2008/9/23
157,西城,6331,01,红莲南路东段3,19,0,19,,,2008/9/1,2008/9/1,,,,,,,,"红莲南路东段宣武支队北侧南侧便道,",2008/9/23
158,西城,6333,01,广安门南滨河路1,16,0,16,,,2008/9/1,2008/9/1,,,,,,,,"广安门南滨河路华亨大厦前西侧便道,",2008/9/23
159,西城,6335,01,广安门南滨河路2,17,0,17,,,2008/9/1,2008/9/1,,,,,,,,"广安门南滨河路建行门前西侧便道,",2008/9/23
160,西城,6369,01,广安门外大街2,16,0,16,,,2008/9/1,2008/9/1,,,,,,,,"广安门外大街锦江大厦门前北侧便道,",2008/9/23
161,西城,6371,01,广安门外大街3,8,0,8,,,2008/9/1,2008/9/1,,,,,,,,"广安门外大街太平洋保险公司门前北侧便道,",2008/9/23
162,西城,6373,01,广安门外大街4,6,0,6,,,2008/9/1,2008/9/1,,,,,,,,"广安门外大街广华轩门前北侧便道,",2008/9/23
163,西城,6375,01,牛街,15,0,15,,,2008/6/1,2008/6/1,,,,,,,,"牛街吐鲁番门前东侧便道,",2008/9/23
164,丰台,5932,01,右外大街,82,0,82,,,2008/6/1,2008/6/1,,,,,,,,右外大街东侧西侧,2008/9/23
165,丰台,5934,01,新华人寿,25,0,25,,,2008/6/1,2008/6/1,,,,,,,,"新华人寿南侧北侧路侧,",2008/9/23
166,丰台,5941,01,紫芳路,84,0,84,,,2008/6/1,2008/6/1,,,,,,,,"紫芳路南侧北侧路侧,",2008/9/23
167,丰台,5944,01,泥洼路,17,0,17,,,2008/6/1,2008/6/1,,,,,,,,"泥洼路东侧路侧,",2008/9/23
168,丰台,5952,01,东安街,23,0,23,,,2008/6/1,2008/6/1,,,,,,,,"东安街东侧路侧,",2008/9/23
169,顺义,7169,01,北京顺义区医院,105,0,105,北京顺义区医院院内北侧,北京顺义区医院院内南侧,2008/9/1,2008/9/1,,,,,,,,西侧便道,2008/9/23
170,顺义,7170,01,光明南街4,77,0,77,顺义总工会门前,博联天地商场门前,2008/9/1,2008/9/1,,,,,,,,东侧便道,2008/9/23
171,房山,7172,01,合欢大街,58,0,58,,,2008/9/1,2008/9/1,,,,,,,,东侧路侧,2008/9/23
172,房山,7173,01,北关东路,76,0,76,,,2008/9/1,2008/9/1,,,,,,,,北侧路侧,2008/9/23
173,房山,7174,01,长虹西路,483,0,483,,,2008/9/1,2008/9/1,,,,,,,,北侧路侧南侧,2008/9/23
174,房山,7175,01,南关东西路,138,0,138,,,2008/9/1,2008/9/1,,,,,,,,北侧南侧路侧,2008/9/23
175,房山,7176,01,保健路,14,0,14,,,2008/9/1,2008/9/1,,,,,,,,东侧路侧西侧,2008/9/23
176,房山,7177,01,京保路,108,0,108,,,2008/9/1,2008/9/1,,,,,,,,东侧路侧西侧,2008/9/23
177,朝阳,6741,01,日坛路,28,0,28,,,2008/9/1,2008/9/1,,,,,,,,"日坛路东侧路侧,",2008/9/23
178,朝阳,6743,01,朝外大街,52,0,52,,,2008/7/1,2008/7/1,,,,,,,,"朝外大街南侧北侧,路侧,",2008/9/23
179,朝阳,5598,01,静安西街,28,0,28,,,2008/9/1,2008/9/1,,,,,,,,"静安西街南侧路侧,",2008/9/23
180,朝阳,6745,01,工体北路,140,0,140,,,2008/9/1,2008/9/1,,,,,,,,"工体北路南侧北侧路侧,",2008/9/23
181,朝阳,5602,01,惠新东街,183,0,183,,,2008/9/1,2008/9/1,,,,,,,,"惠新东街东侧西侧路侧,",2008/9/23
182,朝阳,5807,01,东外大街,113,0,113,,,2008/7/1,2008/7/1,,,,,,,,"东外大街南侧路侧,",2008/9/23
183,朝阳,5591,01,东大桥路,315,0,315,,,2008/7/1,2008/7/1,,,,,,,,"东大桥路东侧西侧路侧,",2008/9/23
184,朝阳,5614,01,樱花东街,76,0,76,,,2008/7/1,2008/7/1,,,,,,,,"樱花东街东侧西侧路侧,",2008/9/23
185,朝阳,5805,01,农展南路,192,0,192,,,2008/7/1,2008/7/1,,,,,,,,"农展南路南侧北侧路侧,",2008/9/23
186,朝阳,5806,01,亮马桥路,177,0,177,,,2008/7/1,2008/7/1,,,,,,,,"亮马桥路南侧北侧路侧,",2008/9/23
187,朝阳,5808,01,香河园路,100,0,100,,,2008/7/1,2008/7/1,,,,,,,,"香河园路南侧北侧路侧,",2008/9/23
188,朝阳,5809,01,安华路,112,0,112,,,2008/7/1,2008/7/1,,,,,,,,"安华路东侧西侧路侧,",2008/9/23
189,朝阳,5811,01,静安东街,7,0,7,,,2008/7/1,2008/7/1,,,,,,,,"静安东街北侧路侧,",2008/9/23
190,朝阳,5814,01,西坝河中街,55,0,55,,,2008/7/1,2008/7/1,,,,,,,,"西坝河中街东侧路侧,",2008/9/23
191,朝阳,5815,01,西坝河南路,110,0,110,,,2008/9/1,2008/9/1,,,,,,,,"西坝河南路东侧路侧,",2008/9/23
192,朝阳,5818,01,左家庄东街,22,0,22,,,2008/7/1,2008/7/1,,,,,,,,"左家庄东街东侧路侧,",2008/9/23
193,朝阳,6747,01,左家庄西街,98,0,98,,,2008/9/1,2008/9/1,,,,,,,,"左家庄西街西侧路侧,",2008/9/23
194,朝阳,5821,01,天泽路,76,0,76,,,2008/7/1,2008/7/1,,,,,,,,"天泽路东侧路侧,",2008/9/23
195,朝阳,5822,01,左家庄中街,74,0,74,,,2008/7/1,2008/7/1,,,,,,,,"左家庄中街北侧路侧,",2008/9/23
196,朝阳,5823,01,麦子店街,128,0,128,,,2008/7/1,2008/7/1,,,,,,,,"麦子店街东侧西侧路侧,",2008/9/23
197,朝阳,5831,01,慧忠北里,54,0,54,,,2008/7/1,2008/7/1,,,,,,,,"慧忠北里东侧路侧,",2008/9/23
198,朝阳,5834,01,阜通东大街,32,0,32,,,2008/7/1,2008/7/1,,,,,,,,"阜通东大街东侧路侧,",2008/9/23
199,朝阳,5840,01,爽秋路,76,0,76,,,2008/7/1,2008/7/1,,,,,,,,"爽秋路东侧西侧路侧,",2008/9/23
200,朝阳,5857,01,吉市口东街,62,0,62,,,2008/7/1,2008/7/1,,,,,,,,"吉市口东街东侧西侧路侧,",2008/9/23
201,昌平,7188,01,水南路,75,0,75,,,2008/9/1,2008/9/1,,,,,,,,水南路南侧北侧路侧,2008/9/23
202,朝阳,6749,01,朝外市场街,94,0,94,,,2008/9/1,2008/9/1,,,,,,,,"朝外市场街东侧西侧路侧,",2008/9/23
203,昌平,7189,01,神牛路,70,0,70,,,2008/9/1,2008/9/1,,,,,,,,神牛路东侧西侧路侧,2008/9/23
204,昌平,7190,01,龙水路,81,0,81,,,2008/9/1,2008/9/1,,,,,,,,龙水路东侧西侧路侧,2008/9/23
205,朝阳,5864,01,朝外北街,144,0,144,,,2008/7/1,2008/7/1,,,,,,,,"朝外北街南侧北侧路侧,",2008/9/23
206,朝阳,6751,01,秀水西街,23,0,23,,,2008/7/1,2008/7/1,,,,,,,,"秀水西街东侧西侧路侧,",2008/9/23
207,朝阳,5875,01,工体东路,172,0,172,,,2008/7/1,2008/7/1,,,,,,,,"工体东路东侧西侧路侧,",2008/9/23
208,朝阳,5801,01,新东路,251,0,251,,,2008/7/1,2008/7/1,,,,,,,,"新东路东侧西侧路侧,",2008/9/23
209,朝阳,5804,01,樱花西街,76,0,76,,,2008/7/1,2008/7/1,,,,,,,,"樱花西街东侧西侧路侧,",2008/9/23
210,朝阳,5868,01,朝外办事处路,35,0,35,,,2008/7/1,2008/7/1,,,,,,,,"朝外办事处路北侧路侧,",2008/9/23
211,朝阳,6753,01,柳芳北街,104,0,104,,,2008/7/1,2008/7/1,,,,,,,,"柳芳北街南侧北侧路侧,",2008/9/23
212,西城,5230,01,阜成门外大街,260,0,260,,,2008/7/1,2008/7/1,,,,,,,,"阜成门外大街南侧北侧路侧,",2008/9/23
213,西城,5232,01,北礼士路 ,148,0,148,,,2008/9/1,2008/9/1,,,,,,,,北礼士路东侧路侧  ,2008/9/23
214,西城,5233,01,展览馆路,191,0,191,,,2008/7/1,2008/7/1,,,,,,,,"展览馆路东侧西侧路侧,",2008/9/23
215,西城,5234,01,新康路,80,0,80,,,2008/7/1,2008/7/1,,,,,,,,"新康路南侧北侧路侧,",2008/9/23
216,西城,7191,01,南线里,68,0,68,,,2008/9/1,2008/9/1,,,,,,,,南线里南侧北侧路侧,2008/9/23
217,西城,5236,01,德胜门东滨河路,90,0,90,,,2008/7/1,2008/7/1,,,,,,,,"德胜门东滨河路南侧路侧,",2008/9/23
218,昌平,7192,01,振兴路,260,0,260,,,2008/9/1,2008/9/1,,,,,,,,振兴路南侧北侧路侧,2008/9/23
219,西城,5237,01,德外大街,8,0,8,,,2008/7/1,2008/7/1,,,,,,,,"德外大街西侧路侧,",2008/9/23
220,西城,5238,01,北草厂街,96,0,96,,,2008/7/1,2008/7/1,,,,,,,,"北草厂街东侧西侧路侧,",2008/9/23
221,西城,5239,01,裕民路,95,0,95,,,2008/7/1,2008/7/1,,,,,,,,"裕民路南侧路侧,",2008/9/23
222,西城,5248,01,裕民中路,127,0,127,,,2008/7/1,2008/7/1,,,,,,,,"裕民中路东侧西侧路侧,",2008/9/23
223,昌平,7193,01,超前路,215,0,215,,,2008/9/1,2008/9/1,,,,,,,,超前路南侧北侧路侧,2008/9/23
224,西城,6755,01,后仓胡同,36,0,36,,,2008/7/1,2008/7/1,,,,,,,,"后仓胡同东侧北侧路侧,",2008/9/23
225,西城,5243,01,复兴门北顺城街,18,0,18,,,2008/7/1,2008/7/1,,,,,,,,"复兴门北顺城街西侧路侧,",2008/9/23
226,西城,5250,01,文兴街,16,0,16,,,2008/7/1,2008/7/1,,,,,,,,"文兴街北侧路侧,",2008/9/23
227,西城,5259,01,六铺炕一巷,40,0,40,,,2008/7/1,2008/7/1,,,,,,,,"六铺炕一巷东侧路侧,",2008/9/23
228,西城,5262,01,安德里北街,52,0,52,,,2008/7/1,2008/7/1,,,,,,,,"安德里北街南侧路侧,",2008/9/23
229,西城,5264,01,黄寺大街,123,0,123,,,2008/7/1,2008/7/1,,,,,,,,"黄寺大街南侧北侧路侧,",2008/9/23
230,昌平,7194,01,白浮泉路,300,0,300,,,2008/9/1,2008/9/1,,,,,,,,白浮泉路南侧北侧路侧,2008/9/23
231,西城,6759,01,冰窖口,23,0,23,,,2008/7/1,2008/7/1,,,,,,,,"冰窖口南侧路侧,",2008/9/23
232,西城,5696,01,永祥胡同,37,0,37,,,2008/7/1,2008/7/1,,,,,,,,"永祥胡同东侧南侧路侧,",2008/9/23
233,西城,5701,01,阜成门内大街,8,0,8,,,2008/7/1,2008/7/1,,,,,,,,"阜成门内大街南侧便道,",2008/9/23
234,西城,5697,01,前英子胡同,25,0,25,,,2008/7/1,2008/7/1,,,,,,,,"前英子胡同南侧北侧路侧,",2008/9/23
235,西城,5699,01,车公庄北街,59,0,59,,,2008/7/1,2008/7/1,,,,,,,,"车公庄北街东侧西侧路侧,",2008/9/23
236,西城,5719,01,车公庄南街,64,0,64,,,2008/7/1,2008/7/1,,,,,,,,"车公庄南街东侧西侧路侧,",2008/9/23
237,西城,5718,01,新街口东街,26,0,26,,,2008/7/1,2008/7/1,,,,,,,,"新街口东街南侧路侧,",2008/9/23
238,西城,5702,01,中大安胡同,18,0,18,,,2008/7/1,2008/7/1,,,,,,,,"中大安胡同南侧便道,",2008/9/23
239,西城,5703,01,二七剧场路,64,0,64,,,2008/7/1,2008/7/1,,,,,,,,"二七剧场路东侧路侧,",2008/9/23
240,西城,6761,01,三里河南六巷,23,0,23,,,2008/7/1,2008/7/1,,,,,,,,"三里河南六巷西侧路侧,",2008/9/23
241,西城,6763,01,三里河南一巷,10,0,10,,,2008/7/1,2008/7/1,,,,,,,,"三里河南一巷东侧路侧,",2008/9/23
242,西城,5207,01,灵境胡同,8,0,8,,,2008/7/1,2008/7/1,,,,,,,,"灵境胡同南侧路侧,",2008/9/23
243,西城,6765,01,地安门西大街,8,0,8,,,2008/7/1,2008/7/1,,,,,,,,"地安门西大街北侧路侧,",2008/9/23
244,平谷,6002,01, 新平东路,71,0,71,,,2008/9/1,2008/9/1,,,,,,,,"东侧西侧路侧,",2008/9/23
245,平谷,6000,01,府前大街,139,0,139,,,2008/7/1,2008/7/1,,,,,,,,"府前大街南侧北侧路侧,",2008/9/23
246,平谷,6767,01,北二环西灯岗路口,5,0,5,,,2008/7/1,2008/7/1,,,,,,,,"西灯岗路口南侧便道,",2008/9/23
247,平谷,6769,01,北二环宏思达门口,180,0,180,,,2008/7/1,2008/7/1,,,,,,,,"北侧南侧便道,",2008/9/23
248,平谷,6771,01,北二环东晓新悦门口,196,0,196,,,2008/7/1,2008/7/1,,,,,,,,"南侧北侧便道,",2008/9/23
249,平谷,6773,01,府前西街文化大厦门口,171,0,171,,,2008/9/1,2008/9/1,,,,,,,,"北侧南侧便道,",2008/9/23
250,平谷,6775,01,府前西街大龙环岛,20,0,20,,,2008/9/1,2008/9/1,,,,,,,,"大龙环岛东侧便道,",2008/9/23
251,平谷,6777,01,府前西街大龙环岛西北侧,8,0,8,,,2008/7/1,2008/7/1,,,,,,,,"大龙环岛西侧便道,",2008/9/23
