 序号,所属区县,停车场编号,停车场类型,所属道路,泊位数量,大型泊位,小型泊位,起始地点,终止地点,开发时间-起,开发时间-止,负责人,联系电话,经营单位,收费时段1,收费时段2,收费标准1,收费标准2,备注,首次通过审批时间
755,西城,6939,01,长椿寺（原长椿街南段）,31,0,31,,,2010/12/1,2010/12/1,,,,,,,,"长椿寺（原长椿街南段）西侧路侧,",2010/12/29 13:46:58
756,西城,5754,01,长椿街,100,0,100,,,2010/12/1,2010/12/1,,,,,,,,"长椿街东侧西侧路侧,",2010/12/29 10:53:18
757,西城,5776,01,牛街,48,0,48,,,2010/12/1,2010/12/1,,,,,,,,"牛街东侧西侧路侧,",2010/12/29 10:55:09
758,西城,5762,01,白纸坊西街,133,0,133,,,2010/12/1,2010/12/1,,,,,,,,"白纸坊西街南侧北侧路侧,",2010/12/29 10:53:54
759,西城,7024,01,南横西街,97,0,97,,,2010/12/1,2010/12/1,,,,,,,,"南横西街南侧北侧路侧,",2010/12/29 13:47:46
760,西城,7283,01,白广路二条,34,0,34,白广路,广安体育馆东侧路,2010/12/1,2010/12/1,,,,,,,,东段南侧路侧东侧路侧,2010/12/29 13:48:40
761,西城,5760,01,西经路,25,0,25,,,2010/12/1,2010/12/1,,,,,,,,"西经路东侧路侧,",2010/12/29 10:53:42
762,西城,5763,01,广安门北街,48,0,48,,,2010/12/1,2010/12/1,,,,,,,,"广安门北街东侧路侧,",2010/12/29 13:42:38
763,西城,5765,01,右安门西街,45,0,45,,,2010/12/1,2010/12/1,,,,,,,,"右安门西街北侧路侧,",2010/12/29 10:54:17
764,西城,5764,01,广安门南街,120,0,120,,,2010/12/1,2010/12/1,,,,,,,,"广安门南街东侧路侧,",2010/12/29 10:54:06
765,西城,5770,01,盆儿胡同,92,0,92,,,2010/12/1,2010/12/1,,,,,,,,"盆儿胡同东侧西侧路侧,",2010/12/29 13:40:13
766,西城,7286,01,南菜园西街,27,0,27,南菜园街,广安门南街,2010/12/1,2010/12/1,,,,,,,,南侧北侧路侧,2010/12/29 13:48:52
767,西城,5791,01,里仁东街,27,0,27,,,2010/12/1,2010/12/1,,,,,,,,"里仁东街南侧路侧,",2010/12/29 13:40:48
768,西城,5778,01,槐柏树前街,25,0,25,,,2010/12/1,2010/12/1,,,,,,,,"槐柏树前街北侧路侧,",2010/12/29 13:45:46
769,东城,7374,01,和平里南街东段,80,0,80,,,2011/5/1,2011/5/1,,,,,,,,和平里南街东段北侧南侧路侧,2011/5/11 10:09:10
770,东城,6707,01,东四西大街,82,0,82,,,2011/5/1,2011/5/1,,,,,,,,"东四西大街南侧北侧路侧,",2011/5/11 10:15:06
771,西城,5773,01,广义街,48,0,48,,,2010/12/1,2010/12/1,,,,,,,,"广义街东侧西侧路侧,",2010/12/29 13:45:31
772,西城,6273,01,国资委周边路,73,0,73,,,2010/12/1,2010/12/1,,,,,,,,"国资委周边路东侧北侧路侧,",2010/12/29 10:54:59
773,西城,5781,01,输入胡同,29,0,29,,,2010/12/1,2010/12/1,,,,,,,,"输入胡同南侧北侧路侧,",2010/12/29 13:40:26
774,丰台,7241,01,丰体南路,11,0,11,,,2011/6/1,2011/6/1,,,,,,,,北侧路侧路侧,2011/8/24 15:10:52
775,西城,7303,01,西绒线胡同,18,0,18,,,2010/3/1,2010/3/1,,,,,,,,道路南北两侧路侧,2010/3/4 10:57:26
776,西城,5245,01,通港大厦南侧路,6,0,6,,,2010/3/1,2010/3/1,,,,,,,,"通港大厦南侧路南侧北侧路侧,",2010/3/4 10:48:11
777,西城,7349,01,民康街,24,0,24,,,2010/3/1,2010/3/1,,,,,,,,南侧路侧,2010/3/4 10:39:33
778,西城,7350,01,通泰大厦南侧路,30,0,30,,,2010/3/1,2010/3/1,,,,,,,,南北路侧,2010/3/4 10:38:49
779,西城,7351,01,平安大厦西侧路,10,0,10,,,2010/3/1,2010/3/1,,,,,,,,东侧路侧,2010/3/4 10:39:12
780,西城,5253,01,时代广场南侧路,14,0,14,,,2010/3/1,2010/3/1,,,,,,,,"南侧路侧,",2010/3/4 10:52:28
781,东城,5095,01,北京站西街,47,0,47,,,2010/3/1,2010/3/1,,,,,,,,"北京站西街南侧北侧路侧,",2010/3/4 10:54:58
782,海淀,7257,01,中关村大街,30,0,30,海东口,丹棱街东口,2010/4/1,2010/4/1,,,,,,,,中关村大街东侧,2010/4/23 17:40:03
783,西城,5786,01,福长街北段,36,0,36,,,2010/12/1,2010/12/1,,,,,,,,"福长街北段西侧路侧,",2010/12/29 13:47:34
784,西城,7290,01,西草厂街,18,0,18,,,2010/12/1,2010/12/1,,,,,,,,南侧北侧路侧,2010/12/29 13:49:15
785,西城,5798,01,香炉营头条,70,0,70,,,2010/12/1,2010/12/1,,,,,,,,"香炉营头条南侧北侧路侧,",2010/12/29 13:46:27
786,西城,6299,01,平原里,70,0,70,,,2010/12/1,2010/12/1,,,,,,,,"平原里南侧路侧,",2010/12/29 13:41:39
787,西城,5768,01,手帕口南街,18,0,18,,,2010/12/1,2010/12/1,,,,,,,,"手帕口南街东侧路侧,",2010/12/29 13:42:52
788,西城,5774,01,天宁寺前街及塔前路南侧,35,0,35,,,2010/12/1,2010/12/1,,,,,,,,"天宁寺前街北侧路侧,",2010/12/29 10:54:47
789,西城,5761,01,广安门外北街,20,0,20,,,2010/12/1,2010/12/1,,,,,,,,"广安门外北街西侧路侧,",2010/12/29 13:42:27
790,西城,5790,01,小马厂路,34,0,34,,,2010/12/1,2010/12/1,,,,,,,,小马厂路南侧北侧路侧,2010/12/29 13:45:58
791,西城,6275,01,红居街,116,0,116,,,2010/12/1,2010/12/1,,,,,,,,"红居街东侧西侧路侧,",2010/12/29 10:55:20
792,西城,5796,01,鸭子桥南里（统计局前）,18,0,18,,,2010/12/1,2010/12/1,,,,,,,,"鸭子桥南里（统计局前）南侧路侧,",2010/12/29 13:48:28
793,西城,5795,01,鸭子桥顺城市场前路,10,0,10,,,2010/12/1,2010/12/1,,,,,,,,"鸭子桥顺城市场前路南侧路侧,",2010/12/29 13:46:11
794,西城,6327,01,红莲南路西段1,32,0,32,,,2010/12/1,2010/12/1,,,,,,,,"红莲南路西段南侧路侧,",2010/12/29 10:55:33
795,海淀,7359,01,四季青路,100,0,100,常青园路,西四环西辅路,2010/6/1,2010/6/1,,,,,,,,南侧北侧路侧,2010/9/2 10:42:06
796,西城,6329,01,红莲南路东段2,59,0,59,,,2010/12/1,2010/12/1,,,,,,,,"红莲南路东段南侧路侧,",2010/12/29 10:55:47
797,西城,7346,01,西兴盛胡同,29,0,29,,,2011/1/1,2011/1/1,,,,,,,,南北两侧路侧,2011/1/14 8:56:52
798,西城,5246,01,通泰大厦北侧路,13,0,13,,,2011/1/1,2011/1/1,,,,,,,,"通泰大厦北侧路南侧北侧路侧,",2011/1/14 8:57:47
799,西城,5266,01,皮库胡同西段,6,0,6,,,2011/1/1,2011/1/1,,,,,,,,皮库胡同南侧路侧,2011/1/14 8:57:23
800,西城,7299,01,月坛南街,77,0,77,,,2011/1/1,2011/1/1,,,,,,,,道路南侧路侧,2011/3/15 9:08:28
801,西城,7298,01,三里河一区,81,0,81,,,2011/1/1,2011/1/1,,,,,,,,道路两侧路侧,2011/1/14 8:56:19
802,西城,7347,01,王府仓胡同,38,0,38,,,2011/3/1,2011/3/1,,,,,,,,南北路侧,2011/3/15 9:08:41
803,东城,7439,01,左安门内环滨河路,228,0,228,,,2011/7/1,2011/7/1,,,,,,,,南侧北侧路侧,2011/7/11 14:35:01
804,海淀,7355,01,大慧寺北路,55,0,55,大慧寺路,学院南路,2010/4/1,2010/4/1,,,,,,,,大慧寺北路西侧路侧,2010/5/11 8:52:21
805,东城,5745,01,南五老胡同,50,0,50,,,2010/6/1,2010/6/1,,,,,,,,"南五老胡同西侧东侧路侧,",2010/6/10 14:44:22
807,东城,5073,01,东交民巷（西段）,38,0,38,,,2010/12/1,2010/12/1,,,,,,,,"东交民巷（西段）南侧路侧,",2010/12/7 11:03:09
808,西城,6363,01,广安门内大街1,84,0,84,,,2010/12/1,2010/12/1,,,,,,,,"广安门内大街南侧小商品批发市场南侧便道,南侧便道",2010/12/29 10:55:59
809,西城,5753,01,菜市口大街,319,0,319,,,2010/12/1,2010/12/1,,,,,,,,"菜市口大街东侧西侧路侧,路侧",2010/12/29 13:42:06
810,西城,5750,01,宣武门东大街,112,0,112,,,2010/12/1,2010/12/1,,,,,,,,"宣武门东大街南侧北侧路侧,路侧",2010/12/29 11:05:24
811,西城,7187,01,宣武门西大街,101,0,101,,,2010/12/1,2010/12/1,,,,,,,,宣武门西大街南侧北侧路侧,2010/12/29 13:41:53
